ticker_symbol,day_date,close_value,volume,open_value,high_value,low_value,delta
MSFT,1/5/2018,88.19,23400070,87.66,88.41,87.43,1%
TSLA,1/5/2018,316.58,4588728,316.62,317.24,312,0%
AAPL,1/6/2018,175,23589930,173.44,175.37,173.05,1%
AMZN,1/6/2018,1229.14,3536299,1217.51,1229.14,1210,1%
GOOGL,1/6/2018,1110.29,1512493,1103.45,1113.5799,1101.795,1%
GOOG,1/6/2018,1102.23,1279990,1094,1104.25,1092,1%
MSFT,1/6/2018,88.19,23400070,87.66,88.41,87.43,1%
TSLA,1/6/2018,316.58,4588728,316.62,317.24,312,0%
AAPL,1/7/2018,175,23589930,173.44,175.37,173.05,1%
AMZN,1/7/2018,1229.14,3536299,1217.51,1229.14,1210,1%
GOOGL,1/7/2018,1110.29,1512493,1103.45,1113.5799,1101.795,1%
GOOG,1/7/2018,1102.23,1279990,1094,1104.25,1092,1%
MSFT,1/7/2018,88.19,23400070,87.66,88.41,87.43,1%
TSLA,1/7/2018,316.58,4588728,316.62,317.24,312,0%
AAPL,1/8/2018,174.35,20523870,174.35,175.61,173.93,0%
AMZN,1/8/2018,1246.87,4270121,1236,1253.079,1232.03,1%
GOOGL,1/8/2018,1114.21,1231344,1111,1119.16,1110,0%
GOOG,1/8/2018,1106.94,1046767,1102.23,1111.27,1101.62,0%
MSFT,1/8/2018,88.28,22110230,88.2,88.58,87.6046,0%
TSLA,1/8/2018,336.41,9832610,316,337.0199,315.5,6%
AAPL,1/9/2018,174.33,21532200,174.55,175.06,173.41,0%
AMZN,1/9/2018,1252.7,3657243,1256.9,1259.33,1241.76,0%
GOOGL,1/9/2018,1112.79,1338828,1118.44,1118.44,1108.201,-1%
GOOG,1/9/2018,1106.26,900089,1109.4,1110.57,1101.2307,0%
MSFT,1/9/2018,88.22,19466220,88.65,88.7272,87.86,0%
TSLA,1/9/2018,333.69,7134525,335.16,338.8,327.405,0%
AAPL,1/10/2018,174.29,23751690,173.16,174.3,173,1%
AMZN,1/10/2018,1254.33,2679832,1245.15,1254.33,1237.23,1%
GOOGL,1/10/2018,1110.14,1036362,1107,1112.78,1103.9842,0%
GOOG,1/10/2018,1102.61,1042273,1097.1,1104.6,1096.11,1%
MSFT,1/10/2018,87.82,18639390,87.86,88.19,87.41,0%
TSLA,1/10/2018,334.8,4303053,332.2,337,330,1%
AAPL,1/11/2018,175.28,18653380,174.59,175.4886,174.49,0%
AMZN,1/11/2018,1276.68,3104031,1259.74,1276.77,1256.46,1%
GOOGL,1/11/2018,1112.05,1109701,1112.31,1114.85,1106.48,0%
GOOG,1/11/2018,1105.52,977727,1106.3,1106.525,1099.59,0%
MSFT,1/11/2018,88.08,17699700,88.13,88.13,87.24,0%
TSLA,1/11/2018,337.95,6640863,335.24,344.8099,333.26,1%
AAPL,1/12/2018,177.09,25302200,176.18,177.36,175.65,1%
AMZN,1/12/2018,1305.2,5434547,1273.3925,1305.76,1273.3925,2%
GOOGL,1/12/2018,1130.65,1926815,1110.1,1131.3025,1108.0101,2%
GOOG,1/12/2018,1122.26,1718491,1102.41,1124.29,1101.15,2%
MSFT,1/12/2018,89.6,24261620,88.67,89.78,88.45,1%
TSLA,1/12/2018,336.22,4822509,338.63,340.41,333.67,-1%
AAPL,1/13/2018,177.09,25302200,176.18,177.36,175.65,1%
AMZN,1/13/2018,1305.2,5434547,1273.3925,1305.76,1273.3925,2%
GOOGL,1/13/2018,1130.65,1926815,1110.1,1131.3025,1108.0101,2%
GOOG,1/13/2018,1122.26,1718491,1102.41,1124.29,1101.15,2%
MSFT,1/13/2018,89.6,24261620,88.67,89.78,88.45,1%
TSLA,1/13/2018,336.22,4822509,338.63,340.41,333.67,-1%
AAPL,1/14/2018,177.09,25302200,176.18,177.36,175.65,1%
AMZN,1/14/2018,1305.2,5434547,1273.3925,1305.76,1273.3925,2%
GOOGL,1/14/2018,1130.65,1926815,1110.1,1131.3025,1108.0101,2%
GOOG,1/14/2018,1122.26,1718491,1102.41,1124.29,1101.15,2%
MSFT,1/14/2018,89.6,24261620,88.67,89.78,88.45,1%
TSLA,1/14/2018,336.22,4822509,338.63,340.41,333.67,-1%
AAPL,1/15/2018,177.09,25302200,176.18,177.36,175.65,1%
AMZN,1/15/2018,1305.2,5434547,1273.3925,1305.76,1273.3925,2%
GOOGL,1/15/2018,1130.65,1926815,1110.1,1131.3025,1108.0101,2%
GOOG,1/15/2018,1122.26,1718491,1102.41,1124.29,1101.15,2%
MSFT,1/15/2018,89.6,24261620,88.67,89.78,88.45,1%
TSLA,1/15/2018,336.22,4822509,338.63,340.41,333.67,-1%
AAPL,1/16/2018,176.19,29512410,177.9,179.39,176.14,-1%
AMZN,1/16/2018,1304.86,7155026,1323,1339.94,1292.3,-1%
GOOGL,1/16/2018,1130.7,1803008,1140.31,1148.88,1126.66,-1%
GOOG,1/16/2018,1121.76,1566662,1132.51,1139.91,1117.8316,-1%
MSFT,1/16/2018,88.35,36584400,90.1,90.79,88.0104,-2%
TSLA,1/16/2018,340.06,6429234,337.54,345,334.8,1%
AAPL,1/17/2018,179.1,34260230,176.15,179.25,175.07,2%
AMZN,1/17/2018,1295,5240634,1312.24,1314,1280.88,-1%
GOOGL,1/17/2018,1139.1,1389212,1136.36,1139.32,1123.49,0%
GOOG,1/17/2018,1131.98,1200476,1126.22,1132.6,1117.01,1%
MSFT,1/17/2018,90.14,25617320,89.08,90.28,88.75,1%
TSLA,1/17/2018,347.16,7092554,340.47,349,339.75,2%
AAPL,1/18/2018,179.26,31087330,179.37,180.1,178.25,0%
AMZN,1/18/2018,1293.32,4021640,1293.95,1304.6,1284.02,0%
GOOGL,1/18/2018,1135.97,1372015,1139.35,1140.585,1124.465,0%
GOOG,1/18/2018,1129.79,1194943,1131.41,1132.51,1117.5,0%
MSFT,1/18/2018,90.1,24138250,89.8,90.67,89.66,0%
TSLA,1/18/2018,344.57,5679629,345.67,352.3,343.74,0%
AAPL,1/19/2018,178.46,31306390,178.61,179.58,177.41,0%
AMZN,1/19/2018,1294.58,4455108,1312,1313,1292.99,-1%
